Date,NAV,NAVexCash,%NeC,NAVexAll,%NeA,Perf,PerfExCash,PerfExAll
27.11.2015,33202335.57,30985873.71,0.933243797,31301964.43,0.942763932,-0.002641034,-0.002824905,-0.00274011
30.11.2015,33310669.6,31092982.64,0.933424125,31414526.43,0.943077002,0.003205958,0.003386577,0.003526588
01.12.2015,33275916.58,31052602.43,0.933185487,31380101.02,0.943027398,-0.000949879,-0.000930505,-0.000731426
02.12.2015,33131379.1,30904241.16,0.932778593,31233558.41,0.942718331,-0.004383029,-0.004604892,-0.004498877
03.12.2015,31940555.49,29733651.66,0.930905903,30065292.33,0.941288962,-0.03591844,-0.03775571,-0.037283236
04.12.2015,32108755.56,29900710.47,0.931232306,30235533.97,0.9416601,0.005196162,0.005602518,0.005646582
07.12.2015,32085271.68,29875474.08,0.931127353,30215308.86,0.941718966,-0.000769245,-0.000870097,-0.00069472
08.12.2015,31602449.41,29407649.39,0.930549686,29752662.24,0.941466968,-0.014775685,-0.015595521,-0.015248744
09.12.2015,31385868.05,29189451.7,0.930018939,29535522.39,0.941045261,-0.006824652,-0.007388147,-0.007266919
10.12.2015,31448400.87,29247923.54,0.93002896,29599998.78,0.94122429,0.00182116,0.001919148,0.00209996
11.12.2015,30814984.68,28611280.36,0.928485951,28966676.9,0.940019189,-0.020109791,-0.021519279,-0.021151113
14.12.2015,30502236.51,28306598.25,0.928017139,28666468.22,0.939815289,-0.010130608,-0.010641349,-0.010356355
15.12.2015,31226575.09,26558112.26,0.850497123,26920208.34,0.862092889,0.023879484,0.025512988,0.025270362
16.12.2015,31471049.42,27457506.13,0.872468718,27821415.14,0.884032012,0.007851227,0.009509396,0.009448833
17.12.2015,31475180.41,27464024.29,0.872561299,27830967.25,0.884219467,5.54E-05,-0.000711263,-0.000592909
18.12.2015,31121747.29,27131541.61,0.871787222,27501173.92,0.8836642,-0.011276981,-0.012892704,-0.012626086
21.12.2015,30996908.76,27014468.44,0.871521372,27388340.47,0.883582962,-0.004097941,-0.003956758,-0.003749411
22.12.2015,31164703.32,27185619.36,0.872320814,27560857.58,0.884361301,0.005491324,0.006922592,0.006877976
23.12.2015,31902229.66,27886436.45,0.874121864,28263859.24,0.885952472,0.023775268,0.026312276,0.026033301
24.12.2015,31713386.22,27713937.33,0.873887674,28090903.75,0.88577434,-0.005811093,-0.006064108,-0.005999277
